,title,num_frames,total_time,avg_intensity,avg_color_r,avg_color_g,avg_color_b,avg_shot_length,num_shots,original_format_title,movie_list_webpage_url,genre,release_date,imdb_url,mean_volume,std_dev_volume,min_volume,max_volume,Drama,Horror,Thriller,Action,Comedy,Crime,Mystery,Sport,Romance,Biography,History,Animation,Adventure,Family,Documentary,Fantasy,Music,Western,Musical,Sports,Supernatural,War,News,Animaton,Short,opening_weekend
0,Triple-9,3339,139.222416667,74.4677714807,64.1714572712,76.1078480927,93.084351508,0.444354166667,312,Triple 9,http://www.movie-list.com/trailers/triple9,"Crime, Drama",26-Feb-16,http://imdb.com/title/tt1712261/,0.206076525808,0.13523794608,0.0,0.454425306147,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6109085.0
1,The-Lords-of-Salem,2404,100.225125,158.556974004,142.453743626,163.608781429,174.905222237,0.801571078431,119,The Lords of Salem,http://www.movie-list.com/trailers/lordsofsalem,"Horror, Thriller",19-Apr-13,http://www.imdb.com/title/tt1731697/,0.0590119913118,0.0383571556823,0.0,0.152219729233,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642000.0
2,Stretch,2463,82.0666666667,107.001294719,100.085107738,109.405630053,112.84869452,0.458429118774,174,Stretch,http://www.movie-list.com/trailers/stretch,"Action, Comedy, Thriller",7-Oct-14,http://imdb.com/title/tt2494280/,0.108446860548,0.0414703957686,0.0,0.264409751047,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,The-Wannabe,2856,119.077291667,66.2065341668,54.4805758722,70.2010757263,76.4408648003,0.514217407407,225,The Wannabe,http://www.movie-list.com/trailers/wannabe,"Crime, Drama, Mystery",4-Dec-15,http://imdb.com/title/tt3059816/,0.0973464932221,0.0572972374956,0.0,0.260758216367,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Grudge-Match,3635,151.568083333,105.871786477,103.8781947,106.361626421,108.669468176,0.552058271833,271,Grudge Match,http://www.movie-list.com/trailers/grudgematch,"Comedy, Sport ",25-Dec-13,http://imdb.com/title/tt1661382/,0.0545944633222,0.0218818320548,0.0,0.123406453456,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7310000.0
5,Vice-2015,3602,150.191708333,107.676681793,107.184081085,112.356523269,84.9656210344,0.1353625,1100,Vice (2015),http://www.movie-list.com/trailers/vice2015,,16-Jan-15,http://imdb.com/title/tt3480796/,0.108278119678,0.0428435389942,0.0,0.207672322044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,The-Conjuring,3673,153.153,58.1210484085,41.4528533623,66.7337154258,57.5271893292,1.20954166667,125,The Conjuring,http://www.movie-list.com/trailers/conjuring,"Horror, Thriller",19-Jul-13,http://imdb.com/title/tt1457767/,0.0407060973978,0.0312084402589,0.0,0.157415524605,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41855326.0
7,The-Big-Short,3673,153.153,88.2936229573,88.8007616617,88.9050901524,83.8928717291,0.639940148305,236,The Big Short,http://www.movie-list.com/trailers/bigshort,Drama,11-Dec-15,http://imdb.com/title/tt1596363/,0.0793549724938,0.0352466108801,0.0,0.171651166083,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705527.0
8,Deadpool,4179,174.257416667,102.835490733,103.267358887,99.9873680213,116.458702926,0.449837975543,368,Deadpool,http://www.movie-list.com/trailers/deadpool,,12-Feb-16,http://imdb.com/title/tt1431045/,0.132071444204,0.0765286100141,0.0,0.309421776444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135050000.0
9,Annabelle,3455,144.060583333,42.955840126,41.8867508161,43.7538071692,41.6877675328,1.87573230594,73,Annabelle,http://www.movie-list.com/trailers/annabelle,"Horror, Thriller",3-Oct-14,http://imdb.com/title/tt3322940/,0.0439821402652,0.0419658142848,0.0,0.188225885214,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37134255.0
10,Fathers-and-Daughters,2880,120.078291667,75.9984339609,59.7304076938,81.2696518358,91.5765743298,0.369157608696,322,Fathers and Daughters,http://www.movie-list.com/trailers/fathersanddaughters,Drama,TBA 2015,http://imdb.com/title/tt2582502/,0.10440695638,0.0448727760218,0.00819482459392,0.243142960668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,Dark-Was-the-Night,2626,109.484375,152.97101477,156.103656514,155.465397528,132.047749902,0.516292475728,206,Dark Was the Night,http://www.movie-list.com/trailers/darkwasthenight,"Drama, Horror, Thriller",TBA 2015,http://imdb.com/title/tt2251281/,0.0927505908484,0.0441897527281,0.021230685584,0.244325143911,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,A-Merry-Friggin-Christmas,4006,133.5,113.567659732,103.950970614,116.928563111,121.575860256,0.522585034014,245,A Merry Friggin' Christmas,http://www.movie-list.com/trailers/merryfrigginchristmas,Comedy,7-Nov-14,http://imdb.com/title/tt0910885/,0.0452328485442,0.026929445951,0.0,0.138078179422,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,The-Nut-Job,2425,101.101,223.910451682,199.52017917,231.430009162,249.337322371,0.548854166667,182,The Nut Job,http://www.movie-list.com/trailers/nutjob,"Animation, Adventure, Comedy, Family",17-Jan-14,http://imdb.com/title/tt1821658/,0.0867355671374,0.0627526457787,0.0,0.31932874331,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,25700000.0
14,Amityville-The-Awakening,3565,148.6485,56.2238690832,54.160917537,56.7714097343,58.8627483985,0.393887254902,374,Amityville: The Awakening,http://www.movie-list.com/trailers/amityvilletheawakening,"Horror, Thriller",TBA 2015,http://imdb.com/title/tt1935897/,0.0861637722538,0.0771064038549,0.0,0.286887769771,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,Carrie-2013,1393,58.058,39.4897787178,19.174984805,49.2057690446,42.75955553,1.74914322917,32,Carrie (2013),http://www.movie-list.com/trailers/carrie2013,"Drama, Horror",18-Oct-13,http://imdb.com/title/tt1939659/,0.0811763514596,0.0614792909006,0.0,0.350203789545,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16101552.0
16,The-To-Do-List,2287,95.34525,229.20153779,210.824991119,233.745436033,254.187517487,1.12364236111,84,The To Do List,http://www.movie-list.com/trailers/todolist,Comedy,26-Jul-13,http://imdb.com/title/tt1758795/,0.0979660490343,0.0609955234639,0.0,0.302668175835,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579402.0
17,About-Last-Night,4598,191.733208333,94.2215046491,96.0071025355,90.9134934237,106.655798785,1.369225,140,About Last Night,http://www.movie-list.com/trailers/aboutlastnight,"Comedy, Drama, Romance",14-Feb-14,http://imdb.com/title/tt1826590/,0.132405815179,0.0640170243182,0.0,0.320106797614,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27838201.0
18,The-Immigrant,2302,95.970875,52.2916338416,36.9976061354,55.3907434374,76.4796751752,0.595574275362,161,The Immigrant,http://www.movie-list.com/trailers/immigrant,"Drama, Mystery, Romance",16-May-14,http://imdb.com/title/tt1951181/,0.0661979831868,0.030839211156,0.0,0.138291204606,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44064.0
19,The-Secret-in-Their-Eyes,3456,144.102291667,82.921012637,78.3010385947,83.9437644788,89.8407232628,0.414919788665,347,The Secret in Their Eyes,http://www.movie-list.com/trailers/secretintheireyes,"Mystery, Thriller",20-Nov-15,http://imdb.com/title/tt1741273/,0.113617961276,0.0462447486931,0.00779955538639,0.243406427712,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,The-Den,2741,114.280833333,129.225177539,125.077741634,132.186141883,124.966449817,0.323895,350,The Den,http://www.movie-list.com/trailers/den,"Horror, Thriller",14-Mar-14,http://imdb.com/title/tt2503154/,0.12201219174,0.0955407336713,0.0,0.353985131104,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,Get-on-Up,4102,171.045875,98.5634221725,87.4822040096,101.53566554,112.399611596,0.437824162138,368,Get on Up,http://www.movie-list.com/trailers/getonup,"Biography, Drama, Music",1-Aug-14,http://imdb.com/title/tt2473602/,0.116780414918,0.0566673496353,0.0,0.266138297738,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13585915.0
22,The-Humbling,3355,139.88975,112.816841894,102.088472751,118.139258829,113.639056625,0.450584543011,310,The Humbling,http://www.movie-list.com/trailers/humbling,Drama,23-Jan-15,http://imdb.com/title/tt1568343/,0.102475326789,0.0422600394979,0.0,0.265198162049,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,The-Internets-Own-Boy-The-Story-of-Aaron-Swartz,3133,130.6305,153.480889283,145.837921426,154.740995419,167.16640577,0.290833614232,445,The Internet's Own Boy: The Story of Aaron Swartz,http://www.movie-list.com/trailers/internetsownboy,"Documentary, Biography, Crime",27-Jun-14,http://imdb.com/title/tt3268458/,0.0978550686464,0.0344160736015,0.0,0.185086751888,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24300.0
24,American-Hero,3823,127.5274,212.885373755,193.710414223,219.937663126,227.034409552,0.412710032362,309,American Hero,http://www.movie-list.com/trailers/americanhero,,11-Dec-15,http://imdb.com/title/tt4733536/,0.118292620256,0.0456033678876,0.00461131244314,0.232381449688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,Barely-Lethal,2692,112.125,114.049783524,109.969530747,114.176679865,124.194558799,0.349187631027,318,Barely Lethal,http://www.movie-list.com/trailers/barelylethal,"Action, Adventure, Comedy",30-Apr-15,http://imdb.com/title/tt1731701/,0.139623988124,0.0718922903562,0.0146937593382,0.336510531136,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
26,Deliver-Us-from-Evil-2014,3632,151.442958333,39.1648405598,36.6691539152,41.7971343633,32.1887068712,1.19265151515,121,Deliver Us from Evil (2014),http://www.movie-list.com/trailers/deliverusfromevil2014,"Crime, Horror, Thriller",2-Jul-14,http://imdb.com/title/tt2377322/,0.0553281003785,0.0547695930767,0.0,0.355861952295,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9740471.0
27,The-Homesman,3348,139.597791667,110.065838365,99.5901490436,114.206511468,116.308075298,0.172188477366,810,The Homesman,http://www.movie-list.com/trailers/homesman,"Drama, Western",14-Nov-14,http://imdb.com/title/tt2398231/,0.114818254784,0.0455470659032,0.0,0.313351743963,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,139311.0
28,The-Sapphires,3277,136.6365,120.551567098,103.748317128,126.124848287,136.016747055,0.473760162602,287,The Sapphires,http://www.movie-list.com/trailers/sapphires,"Comedy, Drama, Musical",22-Mar-13,http://www.imdb.com/title/tt1673697/,0.114435818757,0.0654014423916,0.0,0.44042566701,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38372.0
29,The-Raid-2,2281,95.095,89.7362217648,88.7929938764,91.627588339,82.5491363169,0.418572916667,224,The Raid 2,http://www.movie-list.com/trailers/raid2,"Action, Crime, Thriller",28-Mar-14,http://imdb.com/title/tt2265171/,0.119744582871,0.0559905512218,0.0,0.216498827292,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165292.0
30,Ted-2,3571,148.89875,181.583796167,180.451003376,183.308568618,175.832118239,0.791127216312,188,Ted 2,http://www.movie-list.com/trailers/ted2,Comedy,26-Jun-15,http://imdb.com/title/tt2637276/,0.144347241903,0.0638532557836,0.0,0.326732895132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33507870.0
31,Runner-Runner,3610,150.525375,86.9452302141,79.2994419246,91.5491734365,83.3619492599,0.337322003745,445,Runner Runner,http://www.movie-list.com/trailers/runnerrunner,"Crime, Drama, Thriller",4-Oct-13,http://imdb.com/title/tt2364841/,0.136669088209,0.0722290849139,0.0,0.377991748327,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7706712.0
32,Family-Weekend,2529,105.438666667,174.805925464,167.254089032,176.422988324,186.433193917,0.768051234568,135,Family Weekend,http://www.movie-list.com/trailers/familyweekend,"Comedy, Drama, Family",29-Mar-13,http://www.imdb.com/title/tt1821426/,0.0366245664441,0.0124026947557,0.0,0.0645493979998,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
33,Kevin-Hart-Let-Me-Explain,3289,137.137,79.1046297848,66.8666491559,79.6338766962,108.535988872,0.953590527578,139,Kevin Hart: Let Me Explain,http://www.movie-list.com/trailers/kevinhartletmeexplain,"Documentary, Comedy",3-Jul-13,http://imdb.com/title/tt2609912/,0.131999719765,0.0864610837458,0.0,0.446557543348,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10030463.0
34,Anomalisa,2901,120.954166667,128.626199945,98.7447647774,137.393721488,161.941010877,0.658807320442,181,Anomalisa,http://www.movie-list.com/trailers/anomalisa,"Animation, Comedy, Drama",30-Dec-15,http://imdb.com/title/tt2401878/,0.069958964723,0.0344834195599,0.0,0.175018492012,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,135222.0
35,Brick-Mansions,2977,124.124,115.327251814,101.651194408,119.028936807,132.225648241,0.338390538674,362,Brick Mansions,http://www.movie-list.com/trailers/brickmansions,"Action, Crime, Drama",25-Apr-14,http://imdb.com/title/tt1430612/,0.14062015915,0.0787092765844,0.0,0.323989164779,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9516855.0
36,Spy,3571,119.119,67.1278315029,61.4155588271,69.7285641151,68.772402052,0.689841025641,169,Spy,http://www.movie-list.com/trailers/spy,Comedy,22-May-15,http://imdb.com/title/tt3079380/,0.0719226172825,0.0496075112591,0.0,0.226942396128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29085719.0
37,Nasty-Baby,3001,125.125,134.552150387,121.646297347,134.860622394,166.920059343,0.434,286,Nasty Baby,http://www.movie-list.com/trailers/nastybaby,Drama,23-Oct-15,http://imdb.com/title/tt3121332/,0.238403419815,0.145182867544,0.0,0.640901110776,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8023.0
38,And-So-It-Goes,4162,138.8387,169.368289051,158.455924357,173.873733511,174.92922535,0.498219544365,278,And So It Goes,http://www.movie-list.com/trailers/andsoitgoes,"Comedy, Drama, Romance",18-Jul-14,http://imdb.com/title/tt2465146/,0.112218124531,0.0446550258948,0.0,0.238011363284,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4642329.0
39,Free-Birds,3660,152.610791667,150.050640441,145.180647924,151.791760621,153.985800804,0.336147118209,454,Free Birds,http://www.movie-list.com/trailers/freebirds,"Animation, Comedy",1-Nov-13,http://imdb.com/title/tt1621039/,0.0630687591456,0.035475300144,0.0,0.20807050755,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15805237.0
40,Unbroken,3675,153.236416667,166.564340962,138.776732765,179.70264724,171.916856212,0.354811821705,430,Unbroken,http://www.movie-list.com/trailers/unbroken,"Action, Biography, Drama",25-Dec-14,http://imdb.com/title/tt1809398/,0.111156539989,0.0630512990371,0.0,0.340011752656,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31748000.0
41,The-Gift,3841,160.16,67.7025584965,64.3667033952,68.2505931247,73.6864270837,0.490776584867,326,The Gift,http://www.movie-list.com/trailers/gift,"Drama, Mystery, Thriller",7-Aug-15,http://imdb.com/title/tt4178092/,0.0806934320286,0.0374132532035,0.00106248605832,0.208978186567,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11854273.0
42,Captive,3400,141.766625,84.7964912289,68.5434141985,92.6553693193,87.0189731102,0.381774086758,365,Captive,http://www.movie-list.com/trailers/captive,"Crime, Drama, Thriller",18-Sep-15,http://imdb.com/title/tt3268668/,0.0864501994351,0.0407379405325,0.0,0.24468044698,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393243.0
43,Hercules,2226,92.8010416667,91.4966836273,75.0204919804,99.2762691556,94.7183208769,0.528143895349,172,Hercules,http://www.movie-list.com/trailers/hercules,"Action, Adventure, Fantasy",25-Jul-14,http://imdb.com/title/tt1267297/,0.0917940400251,0.0455445263841,0.0,0.2220511176,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,29800263.0
44,CBGB,2946,122.831041667,104.718228701,92.9785826528,107.017898328,123.749333579,0.666638194444,180,CBGB,http://www.movie-list.com/trailers/cbgb,"Drama, History, Music",11-Oct-13,http://imdb.com/title/tt1786751/,0.0651506884883,0.0332293529804,0.0,0.28287953707,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4000.0
45,For-Those-Who-Can-Tell-No-Tales,2839,118.25,61.7900548101,60.6522073449,61.2708639702,67.5009902122,0.516011644833,229,For Those Who Can Tell No Tales,http://www.movie-list.com/trailers/forthosewhocantellnotales,Drama,TBA 2014,http://imdb.com/title/tt3074796/,0.141174446655,0.0535628333984,0.0,0.26435696207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,Generation-Um,1777,74.0,120.397176542,92.6218285856,133.453381479,126.099798686,0.285807291667,256,Generation Um...,http://www.movie-list.com/trailers/generationum,Drama,3-May-13,http://www.imdb.com/title/tt1718158/,0.10537969211,0.0591374968734,0.0,0.27928031201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,About-Time,3744,156.114291667,158.099965429,140.298520062,164.000770463,174.528820359,0.370619655582,421,About Time,http://www.movie-list.com/trailers/abouttime,,1-Nov-13,http://imdb.com/title/tt2194499/,0.0998263544598,0.057668047064,0.0,0.252565673573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076250.0
48,Disconnect,3624,151.109291667,82.4554602175,68.2273537202,91.1027113284,75.3071284276,0.399320754717,371,Disconnect,http://www.movie-list.com/trailers/disconnect,"Drama, Thriller",12-Apr-13,http://www.imdb.com/title/tt1433811/,0.120722471321,0.0728123259194,0.0,0.399522629574,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210744.0
49,Solace,2659,106.32,63.0965428611,55.2588205233,66.1308634767,68.0777591743,0.439338842975,242,Solace,http://www.movie-list.com/trailers/solace,"Mystery, Thriller",TBA 2015,http://imdb.com/title/tt1291570/,0.108519697418,0.0514186687026,0.0,0.255363435293,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,Willow-Creek,3129,104.266666667,104.496923903,84.3771725008,105.696861777,151.162536662,0.286759259259,360,Willow Creek,http://www.movie-list.com/trailers/willowcreek,Horror,6-Jun-14,http://imdb.com/title/tt2885364/,0.0763340586718,0.0585393421221,0.0,0.278096060401,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,Gravity,2205,91.8333333333,124.790523603,117.088812421,133.326343049,101.141352635,0.523668639053,169,Gravity,http://www.movie-list.com/trailers/gravity,,4-Oct-13,http://imdb.com/title/tt1454468/,0.196425767867,0.192680131109,0.0,0.683476268904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55785112.0
52,Interstellar,2690,112.153708333,93.3715593607,88.7911165274,96.9902914463,86.8297679975,0.881978658537,123,Interstellar,http://www.movie-list.com/trailers/interstellar,,5-Nov-14,http://imdb.com/title/tt0816692/,0.0754046385916,0.0420948773297,0.0,0.16941234691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47510360.0
53,The-Unknown-Known,3482,145.186708333,134.927659823,118.350317037,143.348373262,135.151359264,0.776676801802,185,The Unknown Known,http://www.movie-list.com/trailers/unknownknown,Documentary,4-Apr-14,http://imdb.com/title/tt2390962/,0.128137285729,0.079933543789,0.0,0.312997884297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,64315.0
54,Philomena,3574,149.023875,97.7016625296,84.9028431292,102.075184221,108.825171759,0.655309309309,222,Philomena,http://www.movie-list.com/trailers/philomena,Drama,22-Nov-13,http://imdb.com/title/tt2431286/,0.0800367721282,0.043236221511,0.0,0.310558493044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128435.0
55,The-Riot-Club,3225,134.467666667,86.6830271952,78.3999890808,92.0869034697,80.6513870372,0.654594827586,203,The Riot Club,http://www.movie-list.com/trailers/riotclub,"Drama, Thriller",27-Mar-15,http://imdb.com/title/tt2717860/,0.123023027587,0.0642400107306,0.0,0.345493679882,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,Big-Game,2281,95.0,126.781369534,141.182633803,123.977153371,103.572730358,0.530664794007,178,Big Game,http://www.movie-list.com/trailers/biggame,"Action, Adventure",26-Jun-15,http://imdb.com/title/tt2088003/,0.119883831218,0.0646111624563,0.00325003679777,0.390211689533,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16909.0
57,God-Help-the-Girl,1637,68.1666666667,143.114526285,111.9065377,159.369896975,141.364321423,0.472619047619,140,God Help the Girl,http://www.movie-list.com/trailers/godhelpthegirl,"Drama, Musical, Romance",5-Sep-14,http://imdb.com/title/tt2141751/,0.176239463049,0.0637959459432,0.00592686840739,0.301414405635,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11330.0
58,Enders-Game,2847,118.701916667,76.0808145311,73.2655310402,77.9167070201,74.0757919511,0.313571895425,357,Ender's Game,http://www.movie-list.com/trailers/endersgame,,1-Nov-13,http://imdb.com/title/tt1731141/,0.10419348086,0.0726942507601,0.0,0.339111247679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27017351.0
59,A-Long-Way-Down,3213,133.833333333,226.11588046,226.234019486,224.478261122,234.436778576,0.548326502732,244,A Long Way Down,http://www.movie-list.com/trailers/longwaydown,"Comedy, Drama",11-Jul-14,http://imdb.com/title/tt0458413/,0.0795988446365,0.0320974869458,0.0,0.149348517091,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1426.0
60,The-Bachelor-Weekend,3016,125.625,167.285223135,147.638311774,174.216629467,183.254124988,0.433045977011,290,The Bachelor Weekend,http://www.movie-list.com/trailers/stag,Comedy,2-May-14,http://imdb.com/title/tt2573858/,0.0672467461686,0.0216961926695,0.0,0.118241160469,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,Machete-Kills,1634,68.1097083333,122.363749701,87.013090971,128.724186819,182.40736094,0.319434439179,211,Machete Kills,http://www.movie-list.com/trailers/machetekills,"Action, Crime, Thriller",11-Oct-13,http://imdb.com/title/tt2002718/,0.215056238784,0.112920736718,0.0,0.441480786034,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3837183.0
62,Goosebumps,3990,166.374541667,61.3452025488,51.3880591017,63.4732803855,76.5482113775,0.420373303647,393,Goosebumps,http://www.movie-list.com/trailers/goosebumps,"Action, Adventure, Comedy",16-Oct-15,http://imdb.com/title/tt1051904/,0.0708108774883,0.04787368553,0.0,0.191111320516,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23618556.0
63,Jupiter-Ascending,2761,115.115,60.6036647286,65.6869694342,58.5185121854,58.065464139,0.386880747126,290,Jupiter Ascending,http://www.movie-list.com/trailers/jupiterascending,,6-Feb-15,http://imdb.com/title/tt1617661/,0.0664130342159,0.0315379831636,0.0,0.143368802667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18372372.0
64,Venus-and-Serena,3577,149.149,150.650880433,135.374845394,158.39367173,150.967138937,0.405313584475,365,Venus and Serena,http://www.movie-list.com/trailers/venusandserena,Documentary ,10-May-13,http://www.imdb.com/title/tt2376024/,0.0926619138783,0.0440771054993,0.0,0.22929933239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10981.0
65,I-Origins,3604,150.275125,165.134476474,137.188301257,175.914118649,183.046540185,0.246739892739,606,I Origins,http://www.movie-list.com/trailers/iorigins,,18-Jul-14,http://imdb.com/title/tt2884206/,0.119217043821,0.0671085383727,0.0,0.357232523972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27652.0
66,The-Last-Sentence,3509,146.166666667,92.0695159223,92.1330824053,92.0389976997,92.1407538743,0.840317919075,173,The Last Sentence,http://www.movie-list.com/trailers/lastsentence,"Biography, Drama",20-Jun-14,http://imdb.com/title/tt1590013/,0.116450768957,0.0564126293652,0.0,0.269097842706,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9971.0
67,Heat,3530,147.041666667,89.0331415033,84.8319201832,87.6893840494,107.045720382,0.287315930388,498,Heat,http://www.movie-list.com/trailers/heat,"Action, Crime, Drama",15-Dec-95,http://imdb.com/title/tt0113277/,0.0756051440686,0.0491969049184,0.0,0.279271159239,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,Angry-Birds,3741,155.989166667,219.935085396,200.08098864,224.541624515,248.4644237,0.812153935185,180,Angry Birds,http://www.movie-list.com/trailers/angrybirds,"Animation, Action, Comedy",20-May-16,http://imdb.com/title/tt1985949/,0.0809893279369,0.0607061382007,0.0,0.372460787142,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38155177.0
69,The-Last-of-Robin-Hood,3617,150.817333333,139.584311812,131.045879151,141.611321307,151.656604619,0.61964152602,237,The Last of Robin Hood,http://www.movie-list.com/trailers/lastofrobinhood,"Biography, Drama",29-Aug-14,http://imdb.com/title/tt2450440/,0.0588048417893,0.0258883312535,0.0,0.148853818899,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35418.0
